vtkOriginalIndices,vz,Points:0,Points:1,Points:2,__vtkIsSelected__,velocity:0,velocity:1,velocity:2
0,0,-0.993298,-1.4574,13.3938,1,0,0,0
1,0,-1.06869,-1.44166,13.5103,0,0,0,0
2,0,-1.03865,-1.56032,13.4709,0,0,0,0
3,0,-0.968465,-1.57909,13.3536,0,0,0,0
4,0,-1.02868,-1.34413,13.4301,0,0,0,0
5,0,-1.10788,-1.324,13.5442,0,0,0,0
6,0,-1.07606,-1.22095,13.4627,0,0,0,0
7,0,-1.1559,-1.20808,13.5723,0,0,0,0
8,0,-1.12617,-1.1076,13.4838,0,0,0,0
9,0,-1.21247,-1.09475,13.5944,0,0,0,0
10,0,-1.1836,-0.996074,13.4971,0,0,0,0
11,0,-1.27789,-0.98513,13.6099,0,0,0,0
12,0,-1.25597,-0.887717,13.5127,0,0,0,0
13,0,-1.35098,-0.879756,13.6191,0,0,0,0
14,0,-1.33084,-0.771469,13.5054,0,0,0,0
15,0,-1.43099,-0.779166,13.6222,0,0,0,0
16,0,-1.42822,-0.651335,13.5021,0,0,0,0
17,0,-1.51571,-0.68248,13.6208,0,0,0,0
18,0,-1.54669,-0.550316,13.5121,0,0,0,0
19,0,-1.70692,-0.513291,13.5945,0,0,0,0
20,0,-1.60758,-0.592965,13.6121,0,0,0,0
21,0,-1.67821,-0.414931,13.4482,0,0,0,0
22,0,-1.81887,-0.354214,13.4192,0,0,0,0
23,0,-1.92674,-0.407729,13.5222,0,0,0,0
24,0,-1.81323,-0.446717,13.5669,0,0,0,0
25,0,-1.97772,-0.327082,13.3734,0,0,0,0
26,0,-2.04153,-0.386582,13.4683,0,0,0,0
27,0,-2.1546,-0.3825,13.4074,0,0,0,0
28,0,-2.11338,-0.310201,13.2745,0,0,0,0
29,0,-2.26414,-0.393606,13.3412,0,0,0,0
30,0,-2.21711,-0.313347,13.1636,0,0,0,0
31,0,-2.36821,-0.420404,13.2706,0,0,0,0
32,0,-2.34049,-0.365283,13.0991,0,0,0,0
33,0,-2.46369,-0.464364,13.1967,0,0,0,0
34,0,-2.43909,-0.424392,13.0387,0,0,0,0
35,0,-2.55172,-0.520106,13.1214,0,0,0,0
36,0,-2.52381,-0.486336,12.9654,0,0,0,0
37,0,-2.63307,-0.584662,13.0456,0,0,0,0
38,0,-2.59444,-0.549615,12.8781,0,0,0,0
39,0,-2.70734,-0.657346,12.9699,0,0,0,0
40,0,-2.66808,-0.631381,12.7954,0,0,0,0
41,0,-2.77437,-0.737316,12.8948,0,0,0,0
42,0,-2.73302,-0.716194,12.7384,0,0,0,0
43,0,-2.83343,-0.824314,12.8208,0,0,0,0
44,0,-2.79515,-0.81773,12.6706,0,0,0,0
45,0,-2.88308,-0.918468,12.7486,0,0,0,0
46,0,-2.83967,-0.925247,12.5856,0,0,0,0
47,0,-2.92302,-1.01882,12.6789,0,0,0,0
48,0,-2.87311,-1.03613,12.5148,0,0,0,0
49,0,-2.95224,-1.1249,12.6124,0,0,0,0
50,0,-2.88868,-1.14732,12.4433,0,0,0,0
51,0,-2.96801,-1.23662,12.5508,0,0,0,0
52,0,-2.89675,-1.2793,12.3793,0,0,0,0
53,0,-2.97209,-1.3519,12.494,0,0,0,0
54,0,-2.92291,-1.43494,12.3661,0,0,0,0
55,0,-2.96688,-1.58487,12.3867,0,0,0,0
56,0,-2.96864,-1.46881,12.4406,0,0,0,0
57,0,-2.89768,-1.5561,12.2765,0,0,0,0
58,0,-2.93257,-1.70296,12.3499,0,0,0,0
59,0,-2.84142,-1.68674,12.2114,0,0,0,0
60,0,-2.72818,-1.98178,12.1603,0,0,0,0
61,0,-2.78604,-2.04954,12.2674,0,0,0,0
62,0,-2.84209,-1.93605,12.2899,0,0,0,0
63,0,-2.72196,-2.15977,12.2509,0,0,0,0
64,0,-2.64407,-2.11378,12.1318,0,0,0,0
65,0,-2.65089,-2.26639,12.24,0,0,0,0
66,0,-2.5664,-2.23001,12.1219,0,0,0,0
67,0,-1.9133,-2.7714,12.2249,0,0,0,0
68,0,-1.81701,-2.82411,12.3175,0,0,0,0
69,0,-1.97475,-2.81739,12.3554,0,0,0,0
70,0,-1.74852,-2.78205,12.1995,0,0,0,0
71,0,-0.471054,1.12565,5.62704,0,0,0,0
72,0,-0.52054,1.12447,5.77223,0,0,0,0
